site_id,site_type,village_id,contamination_level,lepto_detected,rat_population,description,latitude,longitude,sampling_priority
ENV001,river_water,V1,very_high,TRUE,very_high,Cagayan River tributary at Malinao bend - primary water source for V1 households,17.6234,121.8456,critical
ENV002,floodwater_pool,V1,very_high,TRUE,high,Standing floodwater near Sitio Riverside - stagnant for 5+ days post-typhoon,17.6241,121.8443,critical
ENV003,irrigation_canal,V1,high,TRUE,very_high,Main irrigation canal Malinao - used for rice paddies and household water,17.6228,121.8467,high
ENV004,well_water,V1,high,TRUE,medium,Community well HH001 area - contaminated during flood submersion,17.6237,121.8451,high
ENV005,well_water,V1,high,TRUE,medium,Community well Sitio Centro - partial contamination,17.6245,121.8459,high
ENV006,debris_pile,V1,very_high,TRUE,very_high,Cleanup debris collection point - dead animals and vegetation,17.6239,121.8448,critical
ENV007,rice_field,V1,medium,TRUE,high,Flooded rice paddy Malinao - harvest lost to typhoon,17.6232,121.8472,medium
ENV008,pig_pen,V1,high,TRUE,high,Pig pen HH007 - flooded during typhoon concentrated animal waste,17.6243,121.8454,high
ENV009,drainage_canal,V1,high,TRUE,very_high,Drainage canal blocked with debris - rat harborage,17.6236,121.8446,high
ENV010,granary_area,V1,very_high,TRUE,very_high,Rice storage granary - severe rat infestation post-flood,17.6240,121.8463,critical
ENV011,river_water,V2,medium,TRUE,low,Cagayan River at San Rafael - downstream from Malinao,17.6312,121.8523,medium
ENV012,municipal_water,V2,low,FALSE,none,San Rafael municipal water system - chlorinated protected source,17.6318,121.8534,low
ENV013,well_water,V2,medium,TRUE,low,Private well San Rafael low area - minor contamination,17.6305,121.8518,medium
ENV014,market_drainage,V2,medium,TRUE,medium,San Rafael market drainage system - rat activity observed,17.6315,121.8529,medium
ENV015,river_water,V3,medium,TRUE,medium,Riverside fishing area - stilt house community,17.6198,121.8512,medium
ENV016,communal_well,V3,medium,TRUE,low,Riverside communal well - elevated but some contamination,17.6203,121.8507,medium
ENV017,fishing_dock,V3,low,FALSE,low,Fishing dock area - good water flow minimal contamination,17.6195,121.8515,low
ENV018,spring_water,V4,none,FALSE,none,Malinis protected spring - primary water source control area,17.6456,121.8634,control
ENV019,municipal_water,V4,none,FALSE,none,Malinis municipal system - spring-fed no contamination,17.6461,121.8641,control
ENV020,evacuation_site,V4,none,FALSE,none,Barangay hall Malinis - served as evacuation center,17.6458,121.8637,control
RAT001,rat_trap_site,V1,very_high,TRUE,very_high,Rat trapping grid Zone 1 - near granary (10 traps),17.6240,121.8463,critical
RAT002,rat_trap_site,V1,high,TRUE,very_high,Rat trapping grid Zone 2 - residential Sitio Riverside (10 traps),17.6241,121.8443,critical
RAT003,rat_trap_site,V1,high,TRUE,high,Rat trapping grid Zone 3 - pig pen area (8 traps),17.6243,121.8454,high
RAT004,rat_trap_site,V2,medium,TRUE,medium,Rat trapping grid Zone 4 - San Rafael market (6 traps),17.6315,121.8529,medium
RAT005,rat_trap_site,V3,low,FALSE,low,Rat trapping grid Zone 5 - Riverside docks (4 traps),17.6198,121.8512,low
RAT006,rat_trap_site,V4,none,FALSE,none,Rat trapping grid Zone 6 - Malinis control (4 traps),17.6458,121.8637,control
SOIL001,soil_sample_site,V1,high,TRUE,high,Flooded residential area soil - Sitio Riverside,17.6241,121.8443,high
SOIL002,soil_sample_site,V1,medium,TRUE,medium,Rice field soil - post-harvest flood damage,17.6232,121.8472,medium
SOIL003,soil_sample_site,V2,low,FALSE,low,San Rafael residential soil - minimal flooding,17.6318,121.8534,low
SOIL004,soil_sample_site,V4,none,FALSE,none,Malinis upland soil - control area no flooding,17.6456,121.8634,control
