site_id,site_type,village_id,contamination_level,lepto_detected,rat_population,description,latitude,longitude,sampling_priority
ENV001,river_water,V1,very_high,TRUE,very_high,Kantara River tributary at Northbend bend - primary water source for V1 households,29.6234,-101.1544,critical
ENV002,floodwater_pool,V1,very_high,TRUE,high,Standing floodwater near Riverside Hamlet - stagnant for 5+ days post-typhoon,29.6241,-101.1557,critical
ENV003,irrigation_canal,V1,high,TRUE,very_high,Main irrigation canal Northbend - used for rice paddies and household water,29.6228,-101.1533,high
ENV004,well_water,V1,high,TRUE,medium,Community well HH001 area - contaminated during flood submersion,29.6237,-101.1549,high
ENV005,well_water,V1,high,TRUE,medium,Community well Central Hamlet - partial contamination,29.6245,-101.1541,high
ENV006,debris_pile,V1,very_high,TRUE,very_high,Cleanup debris collection point - dead animals and vegetation,29.6239,-101.1552,critical
ENV007,rice_field,V1,medium,TRUE,high,Flooded rice paddy Northbend - harvest lost to typhoon,29.6232,-101.1528,medium
ENV008,pig_pen,V1,high,TRUE,high,Pig pen HH007 - flooded during typhoon concentrated animal waste,29.6243,-101.1546,high
ENV009,drainage_canal,V1,high,TRUE,very_high,Drainage canal blocked with debris - rat harborage,29.6236,-101.1554,high
ENV010,granary_area,V1,very_high,TRUE,very_high,Rice storage granary - severe rat infestation post-flood,29.6240,-101.1537,critical
ENV011,river_water,V2,medium,TRUE,low,Kantara River at East Terrace - downstream from Northbend,29.6312,-101.1477,medium
ENV012,municipal_water,V2,low,FALSE,none,East Terrace municipal water system - chlorinated protected source,29.6318,-101.1466,low
ENV013,well_water,V2,medium,TRUE,low,Private well East Terrace low area - minor contamination,29.6305,-101.1482,medium
ENV014,market_drainage,V2,medium,TRUE,medium,East Terrace market drainage system - rat activity observed,29.6315,-101.1471,medium
ENV015,river_water,V3,medium,TRUE,medium,Southshore fishing area - stilt house community,29.6198,-101.1488,medium
ENV016,communal_well,V3,medium,TRUE,low,Southshore communal well - elevated but some contamination,29.6203,-101.1493,medium
ENV017,fishing_dock,V3,low,FALSE,low,Southshore fishing dock area - good water flow minimal contamination,29.6195,-101.1485,low
ENV018,spring_water,V4,none,FALSE,none,Highridge protected spring - primary water source control area,29.6456,-101.1366,control
ENV019,municipal_water,V4,none,FALSE,none,Highridge municipal system - spring-fed no contamination,29.6461,-101.1359,control
ENV020,evacuation_site,V4,none,FALSE,none,Ward hall Highridge - served as evacuation center,29.6458,-101.1363,control
RAT001,rat_trap_site,V1,very_high,TRUE,very_high,Rat trapping grid Zone 1 - near granary (10 traps),29.6240,-101.1537,critical
RAT002,rat_trap_site,V1,high,TRUE,very_high,Rat trapping grid Zone 2 - residential Riverside Hamlet (10 traps),29.6241,-101.1557,critical
RAT003,rat_trap_site,V1,high,TRUE,high,Rat trapping grid Zone 3 - pig pen area (8 traps),29.6243,-101.1546,high
RAT004,rat_trap_site,V2,medium,TRUE,medium,Rat trapping grid Zone 4 - East Terrace market (6 traps),29.6315,-101.1471,medium
RAT005,rat_trap_site,V3,low,FALSE,low,Rat trapping grid Zone 5 - Southshore docks (4 traps),29.6198,-101.1488,low
RAT006,rat_trap_site,V4,none,FALSE,none,Rat trapping grid Zone 6 - Highridge control (4 traps),29.6458,-101.1363,control
SOIL001,soil_sample_site,V1,high,TRUE,high,Flooded residential area soil - Riverside Hamlet,29.6241,-101.1557,high
SOIL002,soil_sample_site,V1,medium,TRUE,medium,Rice field soil - post-harvest flood damage,29.6232,-101.1528,medium
SOIL003,soil_sample_site,V2,low,FALSE,low,East Terrace residential soil - minimal flooding,29.6318,-101.1466,low
SOIL004,soil_sample_site,V4,none,FALSE,none,Highridge upland soil - control area no flooding,29.6456,-101.1366,control
